2025-03-19 18:50:00, INFO: TRAIN in episode 632 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3353
2025-03-19 18:52:31, INFO: TRAIN in episode 633 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3181
2025-03-19 18:55:27, INFO: TRAIN in episode 634 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3801
2025-03-19 18:57:17, INFO: TRAIN in episode 635 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3951
2025-03-19 19:01:11, INFO: TRAIN in episode 636 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4154
2025-03-19 19:04:55, INFO: TRAIN in episode 637 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2455
2025-03-19 19:08:19, INFO: TRAIN in episode 638 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4100
2025-03-19 19:09:11, INFO: TRAIN in episode 639 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2314
2025-03-19 19:11:50, INFO: TRAIN in episode 640 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4099
2025-03-19 19:14:50, INFO: TRAIN in episode 641 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3935
2025-03-19 19:17:56, INFO: TRAIN in episode 642 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4019
2025-03-19 19:18:56, INFO: TRAIN in episode 643 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4122
2025-03-19 19:24:22, INFO: TRAIN in episode 644 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 0.4145
2025-03-19 19:28:01, INFO: TRAIN in episode 645 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3773
2025-03-19 19:34:06, INFO: TRAIN in episode 646 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 0.4185
2025-03-19 19:36:29, INFO: TRAIN in episode 647 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3719
2025-03-19 19:36:56, INFO: TRAIN in episode 648 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4095
2025-03-19 19:39:28, INFO: TRAIN in episode 649 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4117
2025-03-19 19:40:27, INFO: TRAIN in episode 650 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3706
2025-03-19 19:43:11, INFO: TRAIN in episode 651 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4121
2025-03-19 19:45:37, INFO: TRAIN in episode 652 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4141
2025-03-19 19:46:26, INFO: TRAIN in episode 653 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3972
2025-03-19 19:49:10, INFO: TRAIN in episode 654 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4121
2025-03-19 19:52:15, INFO: TRAIN in episode 655 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4048
2025-03-19 19:55:57, INFO: TRAIN in episode 656 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4031
2025-03-19 19:59:26, INFO: TRAIN in episode 657 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3738
2025-03-19 20:00:07, INFO: TRAIN in episode 658 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4127
2025-03-19 20:02:36, INFO: TRAIN in episode 659 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4093
2025-03-19 20:11:24, INFO: TRAIN in episode 660 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0985
2025-03-19 20:12:15, INFO: TRAIN in episode 661 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3646
2025-03-19 20:13:27, INFO: TRAIN in episode 662 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4230
2025-03-19 20:17:33, INFO: TRAIN in episode 663 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4045
2025-03-19 20:18:26, INFO: TRAIN in episode 664 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3194
2025-03-19 20:21:51, INFO: TRAIN in episode 665 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4141
2025-03-19 20:22:33, INFO: TRAIN in episode 666 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3104
2025-03-19 20:25:50, INFO: TRAIN in episode 667 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4083
2025-03-19 20:28:51, INFO: TRAIN in episode 668 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2636
2025-03-19 20:29:40, INFO: TRAIN in episode 669 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3272
2025-03-19 20:32:01, INFO: TRAIN in episode 670 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4087
2025-03-19 20:35:01, INFO: TRAIN in episode 671 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4056
2025-03-19 20:37:49, INFO: TRAIN in episode 672 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4179
